msm_id,target_anchor_prb_id,is_mesh,msm_type,af,succeed_count,fail_count,succeed_ratio
9180838,6117,False,ping,6,43,4,0.9148936170212766
1906515,6117,True,ping,6,503,56,0.8998211091234347
9180837,6117,False,traceroute,6,43,4,0.9148936170212766
1906514,6117,True,traceroute,6,503,56,0.8998211091234347
9181658,6291,False,http,4,190,4,0.979381443298969
8937124,6291,True,http,4,695,9,0.9872159090909091
9181661,6291,False,http,6,40,3,0.9302325581395349
8937127,6291,True,http,6,590,66,0.899390243902439
9181657,6291,False,ping,4,192,2,0.9896907216494846
8937123,6291,True,ping,4,693,11,0.984375
9181660,6291,False,ping,6,41,2,0.9534883720930233
8937126,6291,True,ping,6,596,60,0.9085365853658537
9181656,6291,False,traceroute,4,192,3,0.9846153846153847
8937122,6291,True,traceroute,4,693,11,0.984375
9181659,6291,False,traceroute,6,41,2,0.9534883720930233
8937125,6291,True,traceroute,6,596,60,0.9085365853658537
15412333,6380,False,http,4,33,46,0.4177215189873418
15412311,6380,True,http,4,442,529,0.4552008238928939
15412332,6380,False,ping,4,32,47,0.4050632911392405
15412310,6380,True,ping,4,446,525,0.4593202883625129
15412331,6380,False,traceroute,4,32,47,0.4050632911392405
15412309,6380,True,traceroute,4,446,524,0.45979381443298967
15698386,6386,False,http,4,109,0,1.0
15698371,6386,True,http,4,664,7,0.9895678092399404
15698389,6386,False,http,6,61,3,0.953125
15698374,6386,True,http,6,554,71,0.8864
15698385,6386,False,ping,4,106,2,0.9814814814814815
15698370,6386,True,ping,4,663,8,0.9880774962742176
15698388,6386,False,ping,6,62,2,0.96875
15698373,6386,True,ping,6,557,68,0.8912
15698384,6386,False,traceroute,4,106,3,0.9724770642201835
15698369,6386,True,traceroute,4,663,8,0.9880774962742176
15698387,6386,False,traceroute,6,60,4,0.9375
15698372,6386,True,traceroute,6,558,67,0.8928
16581672,6406,False,http,4,81,1,0.9878048780487805
16581573,6406,True,http,4,908,15,0.9837486457204767
16581678,6406,False,http,6,22,10,0.6875
16581576,6406,True,http,6,513,344,0.5985997666277713
16581671,6406,False,ping,4,82,0,1.0
16581572,6406,True,ping,4,910,13,0.9859154929577465
16581677,6406,False,ping,6,30,2,0.9375
16581575,6406,True,ping,6,776,81,0.9054842473745625
16581670,6406,False,traceroute,4,80,2,0.975609756097561
16581571,6406,True,traceroute,4,911,12,0.9869989165763814
16581676,6406,False,traceroute,6,29,3,0.90625
16581574,6406,True,traceroute,6,775,82,0.9043173862310385
23188924,6654,False,ping,4,145,2,0.9863945578231292
23184706,6654,True,ping,4,640,7,0.9891808346213292
23188923,6654,False,traceroute,4,144,3,0.9795918367346939
23184705,6654,True,traceroute,4,640,7,0.9891808346213292
24638819,6765,False,ping,4,150,4,0.974025974025974
24635474,6765,True,ping,4,621,7,0.9888535031847133
24638823,6765,False,ping,6,94,14,0.8703703703703703
24635477,6765,True,ping,6,534,52,0.9112627986348123
24638818,6765,False,traceroute,4,150,4,0.974025974025974
24635473,6765,True,traceroute,4,621,7,0.9888535031847133
24638822,6765,False,traceroute,6,94,14,0.8703703703703703
24635476,6765,True,traceroute,6,532,54,0.9078498293515358
26625829,6839,False,http,4,147,3,0.98
26625483,6839,True,http,4,938,17,0.9821989528795811
26625832,6839,False,http,6,105,17,0.860655737704918
26625486,6839,True,http,6,811,75,0.9153498871331829
26625828,6839,False,ping,4,149,2,0.9867549668874173
26625482,6839,True,ping,4,943,12,0.987434554973822
26625831,6839,False,ping,6,111,12,0.9024390243902439
26625485,6839,True,ping,6,813,73,0.917607223476298
26625827,6839,False,traceroute,4,148,3,0.9801324503311258
26625481,6839,True,traceroute,4,942,12,0.9874213836477987
26625830,6839,False,traceroute,6,112,11,0.9105691056910569
26625484,6839,True,traceroute,6,813,73,0.917607223476298
28375514,6912,False,ping,4,175,1,0.9943181818181818
28375328,6912,True,ping,4,638,8,0.9876160990712074
28375513,6912,False,traceroute,4,176,0,1.0
28375327,6912,True,traceroute,4,637,8,0.9875968992248062
29492755,6961,False,ping,4,26,110,0.19117647058823528
29492562,6961,True,ping,4,21,677,0.03008595988538682
29492754,6961,False,traceroute,4,36,99,0.26666666666666666
29492561,6961,True,traceroute,4,84,614,0.12034383954154727
31958614,7029,False,ping,4,123,2,0.984
31958502,7029,True,ping,4,680,8,0.9883720930232558
31958613,7029,False,traceroute,4,122,3,0.976
31958501,7029,True,traceroute,4,679,8,0.9883551673944687
88122778,7046,True,ping,4,773,11,0.985969387755102
88122777,7046,True,traceroute,4,771,12,0.9846743295019157
34761881,7059,False,ping,4,161,5,0.9698795180722891
34761154,7059,True,ping,4,637,13,0.98
34761880,7059,False,traceroute,4,163,3,0.9819277108433735
34761153,7059,True,traceroute,4,642,8,0.9876923076923076
54512531,7228,False,ping,4,211,1,0.9952830188679245
54505585,7228,True,ping,4,593,8,0.9866888519134775
54512530,7228,False,traceroute,4,208,4,0.9811320754716981
54505584,7228,True,traceroute,4,593,8,0.9866888519134775
54527100,7229,False,ping,4,203,0,1.0
54518944,7229,True,ping,4,594,7,0.9883527454242929
54527099,7229,False,traceroute,4,201,2,0.9901477832512315
54518943,7229,True,traceroute,4,593,7,0.9883333333333333
55117999,7233,False,http,4,4,207,0.018957345971563982
55111134,7233,True,http,4,3,978,0.0030581039755351682
55117997,7233,False,ping,4,4,207,0.018957345971563982
55111133,7233,True,ping,4,3,978,0.0030581039755351682
55117996,7233,False,traceroute,4,4,207,0.018957345971563982
55111132,7233,True,traceroute,4,3,978,0.0030581039755351682
56943908,7237,False,ping,4,212,3,0.986046511627907
56932486,7237,True,ping,4,586,8,0.9865319865319865
56943907,7237,False,traceroute,4,212,3,0.986046511627907
56932485,7237,True,traceroute,4,585,8,0.9865092748735245
57659789,7243,False,ping,4,208,2,0.9904761904761905
57657337,7243,True,ping,4,701,10,0.9859353023909986
57659788,7243,False,traceroute,4,207,3,0.9857142857142858
57657336,7243,True,traceroute,4,702,9,0.9873417721518988
57753311,7246,False,http,4,212,2,0.9906542056074766
57753313,7246,False,http,4,212,2,0.9906542056074766
57749935,7246,True,http,4,789,11,0.98625
57753317,7246,False,http,6,170,11,0.9392265193370166
57753320,7246,False,http,6,169,12,0.9337016574585635
57749941,7246,True,http,6,677,69,0.9075067024128687
57753310,7246,False,ping,4,214,1,0.9953488372093023
57753312,7246,False,ping,4,213,2,0.9906976744186047
57749934,7246,True,ping,4,790,10,0.9875
57753316,7246,False,ping,6,169,13,0.9285714285714286
57753319,7246,False,ping,6,169,13,0.9285714285714286
57749940,7246,True,ping,6,678,68,0.9088471849865952
57753309,7246,False,traceroute,4,213,2,0.9906976744186047
57749933,7246,True,traceroute,4,790,10,0.9875
57753315,7246,False,traceroute,6,169,13,0.9285714285714286
57753318,7246,False,traceroute,6,170,12,0.9340659340659341
57749939,7246,True,traceroute,6,678,68,0.9088471849865952
58389314,7252,False,ping,4,211,2,0.9906103286384976
58386379,7252,True,ping,4,600,6,0.9900990099009901
58389313,7252,False,traceroute,4,211,2,0.9906103286384976
58386378,7252,True,traceroute,4,600,6,0.9900990099009901
59746683,7259,False,ping,4,233,5,0.9789915966386554
59740247,7259,True,ping,4,584,9,0.984822934232715
59746682,7259,False,traceroute,4,232,6,0.9747899159663865
59740246,7259,True,traceroute,4,583,9,0.9847972972972973
63598162,7288,False,http,4,14,519,0.02626641651031895
63586616,7288,True,http,4,6,978,0.006097560975609756
63598165,7288,False,http,6,11,368,0.029023746701846966
63586619,7288,True,http,6,4,911,0.004371584699453552
63598161,7288,False,ping,4,14,521,0.026168224299065422
63586615,7288,True,ping,4,6,978,0.006097560975609756
63598164,7288,False,ping,6,11,368,0.029023746701846966
63586618,7288,True,ping,6,4,911,0.004371584699453552
63598160,7288,False,traceroute,4,14,521,0.026168224299065422
63586614,7288,True,traceroute,4,5,978,0.00508646998982706
63598163,7288,False,traceroute,6,11,368,0.029023746701846966
63586617,7288,True,traceroute,6,4,911,0.004371584699453552
64829579,7301,False,http,4,201,10,0.95260663507109
64829582,7301,False,http,4,199,12,0.943127962085308
64825911,7301,True,http,4,701,11,0.9845505617977528
64829585,7301,False,http,6,133,19,0.875
64829588,7301,False,http,6,132,20,0.868421052631579
64825916,7301,True,http,6,592,73,0.8902255639097745
64829578,7301,False,ping,4,206,5,0.976303317535545
64829581,7301,False,ping,4,206,5,0.976303317535545
64825910,7301,True,ping,4,703,9,0.9873595505617978
64829584,7301,False,ping,6,136,16,0.8947368421052632
64829587,7301,False,ping,6,136,16,0.8947368421052632
64825915,7301,True,ping,6,596,69,0.8962406015037594
64829577,7301,False,traceroute,4,204,7,0.966824644549763
64829580,7301,False,traceroute,4,204,7,0.966824644549763
64825909,7301,True,traceroute,4,703,9,0.9873595505617978
64829583,7301,False,traceroute,6,135,17,0.8881578947368421
64829586,7301,False,traceroute,6,135,17,0.8881578947368421
64825914,7301,True,traceroute,6,595,70,0.8947368421052632
66434333,7311,False,ping,4,231,1,0.9956896551724138
66431324,7311,True,ping,4,706,9,0.9874125874125874
66434332,7311,False,traceroute,4,231,1,0.9956896551724138
66431323,7311,True,traceroute,4,706,9,0.9874125874125874
66443322,7312,False,ping,4,217,2,0.9908675799086758
66439932,7312,True,ping,4,624,8,0.9873417721518988
66443321,7312,False,traceroute,4,217,2,0.9908675799086758
66439931,7312,True,traceroute,4,623,8,0.9873217115689382
79926160,7382,False,ping,4,253,1,0.9960629921259843
79918101,7382,True,ping,4,672,9,0.986784140969163
79926159,7382,False,traceroute,4,253,1,0.9960629921259843
79918100,7382,True,traceroute,4,672,9,0.986784140969163
84854613,7438,False,ping,4,109,4,0.9646017699115044
84853173,7438,True,ping,4,836,12,0.9858490566037735
84854616,7438,False,ping,6,84,17,0.8316831683168316
84853177,7438,True,ping,6,717,69,0.9122137404580153
84854612,7438,False,traceroute,4,108,5,0.9557522123893806
84853172,7438,True,traceroute,4,835,12,0.9858323494687131
84854615,7438,False,traceroute,6,82,19,0.8118811881188119
84853176,7438,True,traceroute,6,716,70,0.910941475826972
86025706,7461,True,http,6,5,912,0.0054525627044711015
86025705,7461,True,ping,6,5,912,0.0054525627044711015
86025704,7461,True,traceroute,6,5,912,0.0054525627044711015
86324311,7469,False,ping,4,124,1,0.992
86322689,7469,True,ping,4,850,9,0.989522700814901
86324310,7469,False,traceroute,4,125,1,0.9920634920634921
86322688,7469,True,traceroute,4,849,9,0.9895104895104895
97368864,7516,False,http,4,129,0,1.0
97360440,7516,True,http,4,944,16,0.9833333333333333
97368863,7516,False,ping,4,126,3,0.9767441860465116
97360439,7516,True,ping,4,948,13,0.9864724245577523
97368861,7516,False,traceroute,4,126,3,0.9767441860465116
97360438,7516,True,traceroute,4,948,13,0.9864724245577523
110897073,7562,False,ping,4,145,1,0.9931506849315068
110886018,7562,True,ping,4,846,10,0.9883177570093458
110897072,7562,False,traceroute,4,144,2,0.9863013698630136
110886017,7562,True,traceroute,4,846,10,0.9883177570093458
112485727,7571,False,ping,4,174,3,0.9830508474576272
112468259,7571,True,ping,4,872,13,0.9853107344632769
112485726,7571,False,traceroute,4,173,4,0.9774011299435028
112468258,7571,True,traceroute,4,872,13,0.9853107344632769
112589302,7575,False,ping,4,164,1,0.9939393939393939
112581077,7575,True,ping,4,841,10,0.9882491186839013
112589301,7575,False,traceroute,4,163,2,0.9878787878787879
112581076,7575,True,traceroute,4,841,10,0.9882491186839013
147256209,7686,False,http,4,165,3,0.9821428571428571
147253464,7686,True,http,4,975,15,0.9848484848484849
147256214,7686,False,http,6,141,22,0.8650306748466258
147253492,7686,True,http,6,828,96,0.8961038961038961
147256208,7686,False,ping,4,166,2,0.9880952380952381
147253463,7686,True,ping,4,977,13,0.9868686868686869
147256213,7686,False,ping,6,143,20,0.8773006134969326
147253491,7686,True,ping,6,831,93,0.8993506493506493
147256207,7686,False,traceroute,4,165,3,0.9821428571428571
147253462,7686,True,traceroute,4,976,13,0.9868554095045501
147256212,7686,False,traceroute,6,143,20,0.8773006134969326
147253490,7686,True,traceroute,6,831,93,0.8993506493506493
151690866,7697,False,http,4,190,4,0.979381443298969
151687426,7697,True,http,4,967,16,0.9837232960325534
151690873,7697,False,http,6,169,22,0.8848167539267016
151687451,7697,True,http,6,832,85,0.9073064340239912
151690865,7697,False,ping,4,192,2,0.9896907216494846
151687424,7697,True,ping,4,969,15,0.9847560975609756
151690872,7697,False,ping,6,174,17,0.9109947643979057
151687450,7697,True,ping,6,833,85,0.9074074074074074
151690864,7697,False,traceroute,4,191,3,0.9845360824742269
151687423,7697,True,traceroute,4,969,15,0.9847560975609756
151690871,7697,False,traceroute,6,174,17,0.9109947643979057
151687449,7697,True,traceroute,6,833,85,0.9074074074074074
158895647,7721,False,http,4,175,26,0.8706467661691543
158895128,7721,True,http,4,850,136,0.8620689655172413
158895650,7721,False,http,6,135,66,0.6716417910447762
158895133,7721,True,http,6,703,218,0.7633007600434311
158895646,7721,False,ping,4,194,7,0.9651741293532339
158895127,7721,True,ping,4,976,11,0.9888551165146909
158895649,7721,False,ping,6,182,19,0.9054726368159204
158895132,7721,True,ping,6,827,95,0.8969631236442517
158895645,7721,False,traceroute,4,195,6,0.9701492537313433
158895126,7721,True,traceroute,4,976,11,0.9888551165146909
158895648,7721,False,traceroute,6,182,19,0.9054726368159204
158895131,7721,True,traceroute,6,825,97,0.8947939262472885
