msm_id,target_anchor_prb_id,is_mesh,msm_type,af,succeed_count,fail_count,succeed_ratio
9180838,6117,False,ping,6,54,4,0.9310344827586207
1906515,6117,True,ping,6,532,36,0.9366197183098591
9180837,6117,False,traceroute,6,54,4,0.9310344827586207
1906514,6117,True,traceroute,6,532,36,0.9366197183098591
15698386,6386,False,http,4,125,1,0.9920634920634921
15698371,6386,True,http,4,683,8,0.9884225759768451
15698389,6386,False,http,6,68,2,0.9714285714285714
15698374,6386,True,http,6,588,51,0.92018779342723
15698385,6386,False,ping,4,123,2,0.984
15698370,6386,True,ping,4,683,8,0.9884225759768451
15698388,6386,False,ping,6,67,3,0.9571428571428572
15698373,6386,True,ping,6,588,51,0.92018779342723
15698384,6386,False,traceroute,4,125,1,0.9920634920634921
15698369,6386,True,traceroute,4,682,9,0.9869753979739508
15698387,6386,False,traceroute,6,67,3,0.9571428571428572
15698372,6386,True,traceroute,6,590,49,0.9233176838810642
22561786,6595,False,ping,4,141,2,0.986013986013986
22559420,6595,True,ping,4,636,7,0.9891135303265941
22561789,6595,False,ping,6,96,19,0.8347826086956521
22559424,6595,True,ping,6,556,41,0.931323283082077
22561785,6595,False,traceroute,4,142,2,0.9861111111111112
22559419,6595,True,traceroute,4,634,9,0.9860031104199067
22561788,6595,False,traceroute,6,97,19,0.8362068965517241
22559423,6595,True,traceroute,6,557,40,0.932998324958124
23188924,6654,False,ping,4,160,1,0.9937888198757764
23184706,6654,True,ping,4,659,6,0.9909774436090225
23188923,6654,False,traceroute,4,160,2,0.9876543209876543
23184705,6654,True,traceroute,4,658,7,0.9894736842105263
23229324,6662,False,http,4,152,0,1.0
23223806,6662,True,http,4,869,10,0.9886234357224118
23229327,6662,False,http,6,115,9,0.9274193548387096
23223809,6662,True,http,6,748,56,0.9303482587064676
23229323,6662,False,ping,4,151,0,1.0
23223805,6662,True,ping,4,870,9,0.9897610921501706
23229326,6662,False,ping,6,115,8,0.9349593495934959
23223808,6662,True,ping,6,748,56,0.9303482587064676
23229322,6662,False,traceroute,4,153,0,1.0
23223804,6662,True,traceroute,4,866,13,0.9852104664391353
23229325,6662,False,traceroute,6,116,9,0.928
