msm_id,target_anchor_prb_id,is_mesh,msm_type,af,succeed_count,fail_count,succeed_ratio
15698386,6386,False,http,4,129,0,1.0
15698371,6386,True,http,4,696,5,0.992867332382311
15698389,6386,False,http,6,66,3,0.9565217391304348
15698374,6386,True,http,6,597,50,0.9227202472952086
15698385,6386,False,ping,4,126,2,0.984375
15698370,6386,True,ping,4,696,5,0.992867332382311
15698388,6386,False,ping,6,66,3,0.9565217391304348
15698373,6386,True,ping,6,598,49,0.9242658423493045
15698384,6386,False,traceroute,4,128,1,0.9922480620155039
15698369,6386,True,traceroute,4,696,5,0.992867332382311
15698387,6386,False,traceroute,6,66,3,0.9565217391304348
15698372,6386,True,traceroute,6,598,49,0.9242658423493045
22561786,6595,False,ping,4,5,145,0.03333333333333333
22559420,6595,True,ping,4,6,647,0.009188361408882083
22561785,6595,False,traceroute,4,149,2,0.9867549668874173
22559419,6595,True,traceroute,4,646,7,0.9892802450229708
23188924,6654,False,ping,4,170,2,0.9883720930232558
23184706,6654,True,ping,4,670,4,0.9940652818991098
23188923,6654,False,traceroute,4,171,2,0.9884393063583815
23184705,6654,True,traceroute,4,669,5,0.9925816023738873
23961251,6738,False,ping,4,183,4,0.9786096256684492
23960714,6738,True,ping,4,650,6,0.9908536585365854
23961250,6738,False,traceroute,4,184,3,0.983957219251337
23960713,6738,True,traceroute,4,651,5,0.9923780487804879
24638819,6765,False,ping,4,180,3,0.9836065573770492
24635474,6765,True,ping,4,649,5,0.9923547400611621
24638823,6765,False,ping,6,113,16,0.875968992248062
24635477,6765,True,ping,6,567,38,0.9371900826446281
24638818,6765,False,traceroute,4,180,3,0.9836065573770492
24635473,6765,True,traceroute,4,648,6,0.9908256880733946
24638822,6765,False,traceroute,6,111,18,0.8604651162790697
24635476,6765,True,traceroute,6,566,39,0.9355371900826446
29789742,6946,False,ping,6,105,7,0.9375
29786044,6946,True,ping,6,738,53,0.9329962073324906
29789741,6946,False,traceroute,6,105,7,0.9375
29786043,6946,True,traceroute,6,739,52,0.934260429835651
29492755,6961,False,ping,4,14,150,0.08536585365853659
29492562,6961,True,ping,4,10,719,0.013717421124828532
29492754,6961,False,traceroute,4,40,123,0.24539877300613497
29492561,6961,True,traceroute,4,98,631,0.13443072702331962
29692054,6980,False,ping,6,135,6,0.9574468085106383
29692057,6980,False,ping,6,135,6,0.9574468085106383
29691819,6980,True,ping,6,732,51,0.9348659003831418
29692053,6980,False,traceroute,6,134,7,0.950354609929078
29692056,6980,False,traceroute,6,135,6,0.9574468085106383
29691818,6980,True,traceroute,6,733,50,0.9361430395913155
79355435,6983,False,ping,6,237,27,0.8977272727272727
79354271,6983,True,ping,6,746,52,0.9348370927318296
79354267,6983,True,traceroute,4,142,729,0.16303099885189437
79355434,6983,False,traceroute,6,239,24,0.908745247148289
79354270,6983,True,traceroute,6,747,51,0.9360902255639098
29743657,6986,True,ping,4,43,802,0.05088757396449704
29744958,6986,False,ping,6,187,10,0.949238578680203
29744961,6986,False,ping,6,187,10,0.949238578680203
29743660,6986,True,ping,6,726,50,0.9355670103092784
29743656,6986,True,traceroute,4,13,832,0.015384615384615385
29744957,6986,False,traceroute,6,187,10,0.949238578680203
29744960,6986,False,traceroute,6,187,10,0.949238578680203
29743659,6986,True,traceroute,6,726,50,0.9355670103092784
29746845,6987,False,ping,4,3,267,0.011111111111111112
29746850,6987,False,ping,6,164,15,0.9162011173184358
29746853,6987,False,ping,6,164,15,0.9162011173184358
29746742,6987,True,ping,6,718,49,0.9361147327249022
29746844,6987,False,traceroute,4,19,249,0.0708955223880597
29746849,6987,False,traceroute,6,164,15,0.9162011173184358
29746852,6987,False,traceroute,6,164,15,0.9162011173184358
29746741,6987,True,traceroute,6,718,49,0.9361147327249022
31958614,7029,False,ping,4,156,2,0.9873417721518988
31958502,7029,True,ping,4,713,6,0.9916550764951322
31958613,7029,False,traceroute,4,156,2,0.9873417721518988
31958501,7029,True,traceroute,4,714,5,0.9930458970792768
32385484,7037,False,http,4,192,0,1.0
32385154,7037,True,http,4,843,8,0.9905992949471211
32385487,7037,False,http,6,129,13,0.9084507042253521
32385157,7037,True,http,6,732,49,0.9372599231754162
32385483,7037,False,ping,4,192,1,0.9948186528497409
32385153,7037,True,ping,4,846,5,0.9941245593419507
32385486,7037,False,ping,6,130,13,0.9090909090909091
32385156,7037,True,ping,6,732,49,0.9372599231754162
32385482,7037,False,traceroute,4,192,1,0.9948186528497409
32385152,7037,True,traceroute,4,845,5,0.9941176470588236
32385485,7037,False,traceroute,6,130,13,0.9090909090909091
32385155,7037,True,traceroute,6,733,48,0.93854033290653
88122778,7046,True,ping,4,812,6,0.9926650366748166
88122777,7046,True,traceroute,4,810,7,0.9914320685434517
34761881,7059,False,ping,4,189,2,0.9895287958115183
34761154,7059,True,ping,4,671,7,0.9896755162241888
34761880,7059,False,traceroute,4,189,2,0.9895287958115183
34761153,7059,True,traceroute,4,672,6,0.9911504424778761
40115960,7088,False,ping,4,195,1,0.9948979591836735
40112615,7088,True,ping,4,657,4,0.9939485627836612
